ID,Tag,Type,Lang,EX,Form1,Form2,Form3,Form4,Form5,Form6,Form7,Form8,Form9,Form10,Code,Pre
1,<!DOCTYPE html>,基本構造,HTML,HTMLの宣言,入力が必要なものはありません,-,-,-,-,-,-,-,-,-,<!DOCTYPE html>,プレビューなし
2,<html></html>,基本構造,HTML,HTMLの宣言,入力が必要なものはありません,-,-,-,-,-,-,-,-,-,<html>*&n*&n*</html>,プレビューなし
3,<head></head>,基本構造,HTML,ヘッダー,入力が必要なものはありません,-,-,-,-,-,-,-,-,-,<head>*&n*&n*</head>,プレビューなし
4,<body></body>,基本構造,HTML,文章デザインを設定,入力が必要なものはありません,-,-,-,-,-,-,-,-,-,<body>*&n*&n*</body>,プレビューなし
5,<!---->,基本構造,HTML,コメントを入力,text*コメントを入力,-,-,-,-,-,-,-,-,-,<!--*1*-->,プレビューなし
6,<title></title>,Header,HTML,ページのタイトルを表記,text*ページタイトル,-,-,-,-,-,-,-,-,-,<title>*1*</title>,プレビューなし
7,<h1></h1>,文字,HTML,見出し,text*テキスト,-,-,-,-,-,-,-,-,-,<h1>*1*</h1>,<h1>テスト</h1>
8,<h2></h2>,文字,HTML,見出し,text*テキスト,-,-,-,-,-,-,-,-,-,<h2>*1*</h2>,<h21>テスト</h2>
9,<h3></h3>,文字,HTML,見出し,text*テキスト,-,-,-,-,-,-,-,-,-,<h3>*1*</h3>,<h3>テスト</h3>
10,<h4></h4>,文字,HTML,見出し,text*テキスト,-,-,-,-,-,-,-,-,-,<h4>*1*</h4>,<h4>テスト</h4>
11,<h5></h5>,文字,HTML,見出し,text*テキスト,-,-,-,-,-,-,-,-,-,<h5>*1*</h5>,<h5>テスト</h5>
12,<h6></h6>,文字,HTML,見出し,text*テキスト,-,-,-,-,-,-,-,-,-,<h6>*1*</h6>,<h6>テスト</h6>
13,<hr>,その他,HTML,横罫線を引く,-,-,-,-,-,-,-,-,-,-,<hr>,<hr>
14,<p></p>,文字,HTML,文字を表示,text*テキスト,-,-,-,-,-,-,-,-,-,<p>*1*</p>,<p>テスト</p>
15,<div> </div>,その他,HTML,分割オブジェクト,-,-,-,-,-,-,-,-,-,-,<div>*&n*&n*</div>,プレビューなし
16,<pre> </pre>,文字,HTML,整形済みテキスト,text*テキスト,-,-,-,-,-,-,-,-,-,<pre>*&n*1*&n*</pre>,<pre>テスト</pre>
17,<i> </i>,文字,HTML,イタリック体,text*テキスト,-,-,-,-,-,-,-,-,-,<i>*1*</i>,<i>テスト</i>
18,<tt> </tt>,文字,HTML,等幅フォント,text*テキスト,-,-,-,-,-,-,-,-,-,<tt>*1*</tt>,<tt>テスト</tt>
19,<b> </b>,文字,HTML,ボールド,text*テキスト,-,-,-,-,-,-,-,-,-,<b>*1*</b>,<b>テスト</b>
20,<u> </u>,文字,HTML,アンダーライン,text*テキスト,-,-,-,-,-,-,-,-,-,<u>*1*</u>,<u>テスト</u>
21,<strike> </strike>,文字,HTML,打ち消し線,text*テキスト,-,-,-,-,-,-,-,-,-,<strike>*1*</strike>,<strike>テスト</strike>
22,<big> </big>,文字,HTML,大きめの文字,text*テキスト,-,-,-,-,-,-,-,-,-,<big>*1*</big>,<big>テスト</big>
23,<small> </small>,文字,HTML,小さめの文字,text*テキスト,-,-,-,-,-,-,-,-,-,<small>*1*</small>,<small>テスト</small>
24,<sub> </sub>,文字,HTML,下付文字,text*テキスト,-,-,-,-,-,-,-,-,-,<sub>*1*</sub>,<sub>テスト</sub>
25,<sup> </sup>,文字,HTML,上付文字,text*テキスト,-,-,-,-,-,-,-,-,-,<sup>*1*</sup>,<sup>テスト</sup>
26,<em> </em>,文字,HTML,強調文字,text*テキスト,-,-,-,-,-,-,-,-,-,<em>*1*</em>,<em>テスト</em>
27,<strong> </strong>,文字,HTML,強い強調文字,text*テキスト,-,-,-,-,-,-,-,-,-,<strong>*1*</strong>,<strong>テスト</strong>
28,<code> </code>,文字,HTML,プログラムコード,text*テキスト,-,-,-,-,-,-,-,-,-,<code>*1*</code>,<code>テスト</code>
